,n,layer,latency
0,0,block1_conv1,0.07244162261486053
1,0,max_pooling2d,0.0006008297204971313
2,0,batch_normalization,0.0009030997753143311
3,0,block1_conv2,0.20493773370981216
4,0,batch_normalization_1,0.0008845031261444092
5,0,block1_pool,0.0005460046231746674
6,0,block2_conv1,0.13178522512316704
7,0,max_pooling2d_1,0.0005618706345558167
8,0,batch_normalization_2,0.0007829070091247559
9,0,block2_conv2,0.20554827898740768
10,0,batch_normalization_3,0.0032225996255874634
11,0,block2_pool,0.0014017559587955475
12,0,block3_conv1,0.1064024530351162
13,0,max_pooling2d_2,0.0006235949695110321
14,0,batch_normalization_4,0.0017634108662605286
15,0,block3_conv2,0.2245107889175415
16,0,batch_normalization_5,0.0009929314255714417
17,0,block3_conv3,0.0016039758920669556
18,0,block3_conv4,0.0008086375892162323
19,0,block3_pool,0.0004994980990886688
20,0,block4_conv1,0.10916168242692947
21,0,max_pooling2d_3,0.0010500773787498474
22,0,batch_normalization_6,0.0007508955895900726
23,0,block4_conv2,0.1772104576230049
24,0,batch_normalization_7,0.0007196702063083649
25,0,block4_conv3,0.0006578750908374786
26,0,block4_conv4,0.0008047409355640411
27,0,block4_pool,0.0005348995327949524
28,0,block5_conv1,0.07024217024445534
29,0,max_pooling2d_4,0.00028162822127342224
30,0,batch_normalization_8,0.0008211098611354828
31,0,block5_conv2,0.052863750606775284
32,0,batch_normalization_9,0.0005827359855175018
33,0,block5_conv3,0.0005171261727809906
34,0,block5_conv4,0.00048813596367836
35,0,block5_pool,0.0003072693943977356
36,0,dense,0.0018455833196640015
37,0,global_average_pooling2d,0.0006664581596851349
38,0,dense_1,0.0006054602563381195
39,1,block1_conv1,0.00036650151014328003
40,1,max_pooling2d,0.0002011433243751526
41,1,batch_normalization,0.0004239678382873535
42,1,block1_conv2,0.0003867894411087036
43,1,batch_normalization_1,0.00043608248233795166
44,1,block1_pool,0.00018997862935066223
45,1,block2_conv1,0.0004230216145515442
46,1,max_pooling2d_1,0.00020484626293182373
47,1,batch_normalization_2,0.000379711389541626
48,1,block2_conv2,0.00039349496364593506
49,1,batch_normalization_3,0.00041699036955833435
50,1,block2_pool,0.00023602694272994995
51,1,block3_conv1,0.0005252361297607422
52,1,max_pooling2d_2,0.00020246580243110657
53,1,batch_normalization_4,0.00040259212255477905
54,1,block3_conv2,0.00044338032603263855
55,1,batch_normalization_5,0.00042290613055229187
56,1,block3_conv3,0.00037856772541999817
57,1,block3_conv4,0.0003601163625717163
58,1,block3_pool,0.0002132616937160492
59,1,block4_conv1,0.00033818185329437256
60,1,max_pooling2d_3,0.00020135566592216492
61,1,batch_normalization_6,0.00038884207606315613
62,1,block4_conv2,0.00033551082015037537
63,1,batch_normalization_7,0.00037953630089759827
64,1,block4_conv3,0.0003425963222980499
65,1,block4_conv4,0.0003675296902656555
66,1,block4_pool,0.00018929317593574524
67,1,block5_conv1,0.0003448203206062317
68,1,max_pooling2d_4,0.00016039982438087463
69,1,batch_normalization_8,0.00033419206738471985
70,1,block5_conv2,0.00040977075695991516
71,1,batch_normalization_9,0.0003499239683151245
72,1,block5_conv3,0.0003269612789154053
73,1,block5_conv4,0.00030505284667015076
74,1,block5_pool,0.00015417858958244324
75,1,dense,0.0006291009485721588
76,1,global_average_pooling2d,0.00023902952671051025
77,1,dense_1,0.0002778470516204834
78,2,block1_conv1,0.00031317397952079773
79,2,max_pooling2d,0.00014188513159751892
80,2,batch_normalization,0.00032150745391845703
